Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,timeframe,data_source
2025-04-20 18:00:00-04:00,64.30000305175781,64.41999816894531,64.19000244140625,64.2300033569336,0,0.0,0.0,CL=F,1min,yfinance
2025-04-20 18:01:00-04:00,64.22000122070312,64.22000122070312,64.18000030517578,64.18000030517578,59,0.0,0.0,CL=F,1min,yfinance
2025-04-20 18:02:00-04:00,64.1500015258789,64.1500015258789,64.01000213623047,64.08000183105469,57,0.0,0.0,CL=F,1min,yfinance
2025-04-20 18:03:00-04:00,64.05999755859375,64.05999755859375,64.0,64.01000213623047,177,0.0,0.0,CL=F,1min,yfinance
2025-04-20 18:04:00-04:00,64.01000213623047,64.0199966430664,63.95000076293945,63.95000076293945,45,0.0,0.0,CL=F,1min,yfinance
2025-04-20 18:05:00-04:00,63.95000076293945,63.959999084472656,63.939998626708984,63.939998626708984,27,0.0,0.0,CL=F,1min,yfinance
2025-04-20 18:06:00-04:00,63.93000030517578,63.959999084472656,63.91999816894531,63.959999084472656,69,0.0,0.0,CL=F,1min,yfinance
2025-04-20 18:07:00-04:00,63.939998626708984,63.959999084472656,63.91999816894531,63.91999816894531,24,0.0,0.0,CL=F,1min,yfinance
2025-04-20 18:08:00-04:00,63.93000030517578,63.959999084472656,63.90999984741211,63.93000030517578,17,0.0,0.0,CL=F,1min,yfinance
2025-04-20 18:09:00-04:00,63.91999816894531,63.91999816894531,63.849998474121094,63.88999938964844,28,0.0,0.0,CL=F,1min,yfinance
2025-04-20 18:10:00-04:00,63.900001525878906,63.90999984741211,63.900001525878906,63.900001525878906,7,0.0,0.0,CL=F,1min,yfinance
2025-04-20 18:11:00-04:00,63.88999938964844,63.90999984741211,63.88999938964844,63.90999984741211,105,0.0,0.0,CL=F,1min,yfinance
2025-04-20 18:12:00-04:00,63.93000030517578,64.0199966430664,63.93000030517578,64.0199966430664,29,0.0,0.0,CL=F,1min,yfinance
2025-04-20 18:13:00-04:00,64.04000091552734,64.04000091552734,64.01000213623047,64.01000213623047,6,0.0,0.0,CL=F,1min,yfinance
2025-04-20 18:14:00-04:00,63.97999954223633,63.9900016784668,63.97999954223633,63.9900016784668,7,0.0,0.0,CL=F,1min,yfinance
2025-04-20 18:15:00-04:00,63.9900016784668,63.9900016784668,63.970001220703125,63.970001220703125,13,0.0,0.0,CL=F,1min,yfinance
2025-04-20 18:16:00-04:00,64.0,64.0199966430664,63.970001220703125,63.970001220703125,5,0.0,0.0,CL=F,1min,yfinance
2025-04-20 18:17:00-04:00,64.0199966430664,64.04000091552734,64.01000213623047,64.04000091552734,15,0.0,0.0,CL=F,1min,yfinance
2025-04-20 18:18:00-04:00,64.05000305175781,64.05000305175781,64.05000305175781,64.05000305175781,5,0.0,0.0,CL=F,1min,yfinance
2025-04-20 18:19:00-04:00,64.0199966430664,64.04000091552734,64.0199966430664,64.04000091552734,5,0.0,0.0,CL=F,1min,yfinance
2025-04-20 18:20:00-04:00,64.0,64.01000213623047,63.970001220703125,63.970001220703125,5,0.0,0.0,CL=F,1min,yfinance
2025-04-20 18:22:00-04:00,63.970001220703125,63.970001220703125,63.970001220703125,63.970001220703125,10,0.0,0.0,CL=F,1min,yfinance
2025-04-20 18:24:00-04:00,63.97999954223633,63.97999954223633,63.97999954223633,63.97999954223633,8,0.0,0.0,CL=F,1min,yfinance
2025-04-20 18:25:00-04:00,63.959999084472656,63.959999084472656,63.959999084472656,63.959999084472656,4,0.0,0.0,CL=F,1min,yfinance
2025-04-20 18:27:00-04:00,63.97999954223633,63.97999954223633,63.97999954223633,63.97999954223633,1,0.0,0.0,CL=F,1min,yfinance
2025-04-20 18:28:00-04:00,64.01000213623047,64.01000213623047,64.01000213623047,64.01000213623047,1,0.0,0.0,CL=F,1min,yfinance
2025-04-20 18:29:00-04:00,63.9900016784668,63.9900016784668,63.97999954223633,63.97999954223633,15,0.0,0.0,CL=F,1min,yfinance
2025-04-20 18:30:00-04:00,63.97999954223633,63.97999954223633,63.900001525878906,63.93000030517578,15,0.0,0.0,CL=F,1min,yfinance
